compound_id,compound_group,window,selected_method,selected_measured_rt_min,top1_hit,top3_hit,feasible,excess_distance_min
1,63590c74120e85ecd05c0c08,2-5,M06,1.4,False,False,False,0.27
1,63590c74120e85ecd05c0c08,5-10,M16,1.25,False,False,False,0.41999999999999993
1,63590c74120e85ecd05c0c08,10-20,M16,1.25,False,False,False,0.41999999999999993
1,63590c74120e85ecd05c0c08,20-40,M16,1.25,False,False,False,0.4200000000000017
2,73c4545b8949e668c76a03b2,2-5,M08,1.05,False,False,True,0.95
2,73c4545b8949e668c76a03b2,5-10,M16,1.43,False,False,False,0.7400000000000002
2,73c4545b8949e668c76a03b2,10-20,M16,1.43,False,False,False,0.7400000000000002
2,73c4545b8949e668c76a03b2,20-40,M16,1.43,False,False,False,0.740000000000002
3,c7bcada0b8e888971aefc4c3,2-5,M28,0.77,False,False,False,1.2
3,c7bcada0b8e888971aefc4c3,5-10,M16,1.43,False,False,False,0.54
3,c7bcada0b8e888971aefc4c3,10-20,M16,1.43,False,False,False,0.5400000000000009
3,c7bcada0b8e888971aefc4c3,20-40,M16,1.43,False,False,False,0.5399999999999991
4,91876cd96b4863b74f62ede1,2-5,M06,7.07,False,False,True,2.0700000000000003
4,91876cd96b4863b74f62ede1,5-10,M16,15.77,False,True,True,5.77
4,91876cd96b4863b74f62ede1,10-20,M16,15.77,True,True,True,0.0
4,91876cd96b4863b74f62ede1,20-40,M16,15.77,False,False,False,0.0
5,f388de2f1532bd2d15000e9e,2-5,M28,0.96,False,True,True,1.04
5,f388de2f1532bd2d15000e9e,5-10,M15,2.59,False,False,False,0.0
5,f388de2f1532bd2d15000e9e,10-20,M16,2.03,False,False,False,0.5600000000000005
5,f388de2f1532bd2d15000e9e,20-40,M16,2.03,False,False,False,0.5599999999999987
6,903e67b4c2f9750d37336ae2,2-5,M25,1.52,False,True,True,0.48
6,903e67b4c2f9750d37336ae2,5-10,M25,1.52,False,False,False,0.9700000000000002
6,903e67b4c2f9750d37336ae2,10-20,M25,1.52,False,False,False,0.9700000000000006
6,903e67b4c2f9750d37336ae2,20-40,M25,1.52,False,False,False,0.9700000000000024
8,d8974ef08904a88379044d8b,2-5,M17,5.37,False,False,False,0.0
8,d8974ef08904a88379044d8b,5-10,M20,7.91,True,True,True,0.0
8,d8974ef08904a88379044d8b,10-20,M14,12.63,True,True,True,0.0
8,d8974ef08904a88379044d8b,20-40,M16,32.21,True,True,True,0.0
12,f924f42d31e9b2b1918efd30,2-5,M21,4.37,True,True,True,0.0
12,f924f42d31e9b2b1918efd30,5-10,M12,3.21,False,False,True,1.79
12,f924f42d31e9b2b1918efd30,10-20,M16,5.09,False,False,False,1.2999999999999998
12,f924f42d31e9b2b1918efd30,20-40,M16,5.09,False,False,False,1.3000000000000007
13,cf7268b4f8767d681615d5ad,2-5,M22,1.21,False,False,False,0.47
13,cf7268b4f8767d681615d5ad,5-10,M16,1.25,False,False,False,0.4299999999999997
13,cf7268b4f8767d681615d5ad,10-20,M16,1.25,False,False,False,0.4299999999999997
13,cf7268b4f8767d681615d5ad,20-40,M16,1.25,False,False,False,0.4299999999999997
14,37db2b79f652ee6c5f897d99,2-5,M19,4.44,True,True,True,0.0
14,37db2b79f652ee6c5f897d99,5-10,M13,6.56,True,True,True,0.0
14,37db2b79f652ee6c5f897d99,10-20,M16,8.32,False,False,False,0.0
14,37db2b79f652ee6c5f897d99,20-40,M16,8.32,False,False,False,0.0
15,dc48fc379a6c61beca713ed3,2-5,M03,2.14,True,True,True,0.0
15,dc48fc379a6c61beca713ed3,5-10,M16,2.24,False,False,True,2.76
15,dc48fc379a6c61beca713ed3,10-20,M16,2.24,False,False,False,3.1799999999999997
15,dc48fc379a6c61beca713ed3,20-40,M16,2.24,False,False,False,3.179999999999998
16,6983229a0e0fe5fb5d401dcc,2-5,M14,7.63,False,True,True,2.63
16,6983229a0e0fe5fb5d401dcc,5-10,M16,17.04,False,False,True,7.039999999999999
16,6983229a0e0fe5fb5d401dcc,10-20,M16,17.04,True,True,True,0.0
16,6983229a0e0fe5fb5d401dcc,20-40,M16,17.04,False,False,False,0.0
17,e23aae84b93938a0352fa862,2-5,M14,3.78,True,True,True,0.0
17,e23aae84b93938a0352fa862,5-10,M16,7.32,True,True,True,0.0
17,e23aae84b93938a0352fa862,10-20,M16,7.32,False,False,False,0.0
17,e23aae84b93938a0352fa862,20-40,M16,7.32,False,False,False,0.0
18,b4fed703cda493a4827fa37b,2-5,M17,5.12,False,False,False,0.0
18,b4fed703cda493a4827fa37b,5-10,M19,5.56,True,True,True,0.0
18,b4fed703cda493a4827fa37b,10-20,M24,11.21,True,True,True,0.0
18,b4fed703cda493a4827fa37b,20-40,M16,32.02,True,True,True,0.0
19,ac149acd23b05351f726234b,2-5,M19,3.79,True,True,True,0.0
19,ac149acd23b05351f726234b,5-10,M10,4.01,False,True,True,0.9900000000000002
19,ac149acd23b05351f726234b,10-20,M16,4.61,False,False,False,1.4499999999999993
